ngram,count
er,49
on,47
ar,40
in,37
le,37
an,36
ey,33
ll,33
ne,28
en,26
el,25
ra,25
th,23
or,23
re,23
to,23
ck,21
ma,20
st,19
ri,19
de,19
ur,18
es,18
ha,17
so,17
la,17
rt,16
ke,16
ro,15
ho,15
ou,15
is,15
al,14
am,14
ng,14
ns,14
pe,14
nd,14
se,14
od,13
ld,13
il,13
nn,13
ol,13
mo,12
as,12
sh,12
tt,12
ic,12
wa,11
te,11
be,11
rd,11
co,11
rs,10
at,10
ge,10
ga,10
he,10
do,10
ea,10
hi,10
rr,10
lo,10
oo,9
wo,9
ul,9
li,9
ki,9
ow,9
ir,8
et,8
rn,8
gh,8
pa,8
ve,8
wi,8
we,8
no,7
ak,7
tr,7
ed,7
rl,7
dd,7
vi,7
ch,7
oc,7
un,7
ei,7
ss,7
ad,7
di,7
ie,7
hu,6
em,6
da,6
ag,6
na,6
ut,6
gr,6
ee,6
dr,6
bi,6
ta,6
nt,6
ds,6
fo,6
um,6
fi,6
ug,5
gg,5
it,5
ks,5
ay,5
au,5
bb,5
ru,5
ni,5
ig,5
aw,5
dl,5
ja,5
ac,5
op,5
ls,5
ti,5
ry,5
ai,4
rh,4
id,4
dg,4
me,4
go,4
du,4
ot,4
ka,4
lm,4
va,4
kn,4
gi,4
gu,4
tu,4
av,4
sm,4
br,4
bu,4
us,4
om,4
lk,4
cu,4
cr,4
pl,4
wn,4
ms,4
fa,3
rb,3
mc,3
ty,3
mi,3
gt,3
ud,3
oa,3
kl,3
ox,3
tl,3
ib,3
wh,3
ff,3
pp,3
rg,3
wr,3
fr,3
nc,3
sa,3
sw,3
po,3
ob,3
oy,3
yl,3
dm,3
ya,3
mp,3
ye,3
mm,3
bo,3
os,3
si,3
dw,3
ys,3
im,3
nw,2
ju,2
hn,2
rp,2
uf,2
ew,2
ue,2
gs,2
ub,2
su,2
of,2
ft,2
pr,2
yn,2
sc,2
oh,2
dy,2
yd,2
lf,2
fe,2
nu,2
mb,2
nl,2
rw,2
nr,2
ko,2
tw,2
hl,2
nm,2
rm,2
lu,2
lc,2
yo,2
bl,2
rk,2
og,2
fl,2
ip,2
gl,2
ev,2
ba,2
wl,2
ui,2
cl,2
sp,2
lt,2
eb,2
ht,2
ah,2
ca,1
ia,1
hw,1
eh,1
rv,1
ct,1
ep,1
mu,1
gd,1
ci,1
sy,1
yk,1
eg,1
nf,1
jo,1
cc,1
pk,1
kr,1
ez,1
wt,1
af,1
py,1
mn,1
ix,1
xo,1
ap,1
sf,1
lr,1
tc,1
ok,1
mk,1
sn,1
ov,1
km,1
tz,1
zp,1
tm,1
ky,1
ab,1
ef,1
vo,1
by,1
rc,1
ce,1
pu,1
xv,1
yr,1
uv,1
ws,1
my,1
yt,1
ph,1
ps,1
za,1
ao,1
if,1
rf,1
eo,1
uh,1
fu,1
sd,1
xa,1
ts,1
