ngram,count
kov,115
sky,90
nov,55
nko,53
vsk,49
enk,45
kin,42
ovs,42
che,38
rov,34
iko,34
ich,30
hin,29
aev,27
akh,27
lin,26
ano,26
hov,26
hev,26
lov,25
ovi,23
vic,23
tov,22
ikh,21
bak,21
han,21
kho,20
hen,20
zhi,19
she,19
nik,18
kha,17
tsk,17
yan,17
cha,17
chi,17
tse,16
nsk,16
sch,16
mar,15
off,15
har,15
sov,14
ali,14
len,14
ukh,14
man,14
zha,14
ino,14
yak,14
ako,14
ets,13
olo,13
shi,13
hal,13
ins,13
ili,13
art,13
tch,13
lev,13
rko,13
tin,13
zhe,13
sha,13
rev,13
jan,12
nts,12
din,12
evs,12
hik,12
oro,12
gin,12
ala,12
ver,12
ant,11
mov,11
ash,11
min,11
vin,11
ere,11
van,11
ush,11
ero,11
her,11
nki,10
lik,10
ono,10
chu,10
uko,10
tza,10
aro,10
shk,10
hki,10
ser,10
ber,10
alo,10
hak,10
mik,9
iev,9
gov,9
imo,9
uno,9
aki,9
nch,9
dub,9
ski,9
aku,9
sev,9
nev,9
kal,9
dzh,9
bab,9
eli,9
are,9
khi,9
dov,8
hai,8
bae,8
khm,8
ham,8
por,8
evi,8
aga,8
ani,8
zhu,8
bel,8
yuk,8
mak,8
ank,8
hel,8
okh,8
hon,8
lya,8
vil,8
gor,8
ale,8
nur,7
nin,7
sen,7
huk,7
val,7
hte,7
bro,7
gul,7
rin,7
ove,7
its,7
bai,7
elo,7
aba,7
ave,7
gra,7
rch,7
baz,7
ahi,7
zov,7
ats,7
ran,7
ail,6
and,6
kar,6
pov,6
obo,6
och,6
vai,6
bat,6
tal,6
bag,6
jak,6
gla,6
ler,6
ten,6
ent,6
gri,6
oho,6
atz,6
hir,6
sai,6
ots,6
rus,6
lot,6
ilo,6
sko,6
iki,6
vel,6
hil,6
dja,6
bah,6
uto,6
eev,6
ach,6
dze,6
bal,6
ruk,6
uli,6
ade,6
uho,6
khn,6
kat,6
gal,6
uro,5
udo,5
dar,5
rem,5
ada,5
abl,5
ast,5
sin,5
ito,5
aso,5
son,5
abr,5
tim,5
ima,5
ink,5
bek,5
ekh,5
hma,5
aid,5
ile,5
hav,5
